Iteration, Drag, Lift, Coeff Drag, CoeffLift, time prec, time solve
1.1, 0.00311786, 0.0143754, 0.496223, 0.0143754, 0.0496897, 0.0886858, 4
1.105, 0.00312107, 0.0144149, 0.496734, 0.0144149, 0.0494746, 0.10293, 5
1.11, 0.00312618, 0.0144077, 0.497547, 0.0144077, 0.0487961, 0.112473, 6
1.115, 0.00313132, 0.0144647, 0.498365, 0.0144647, 0.0498147, 0.101358, 4
1.12, 0.00313482, 0.0144702, 0.498922, 0.0144702, 0.0518734, 0.111976, 6
1.125, 0.00313969, 0.0144706, 0.499697, 0.0144706, 0.0509085, 0.110765, 6
1.13, 0.00314529, 0.0144499, 0.500589, 0.0144499, 0.052962, 0.118885, 6
1.135, 0.00314862, 0.0145405, 0.501119, 0.0145405, 0.0501788, 0.091799, 3
1.14, 0.00315291, 0.0145609, 0.501802, 0.0145609, 0.0545316, 0.118846, 5
1.145, 0.00315586, 0.0145588, 0.50227, 0.0145588, 0.0516531, 0.127797, 6
1.15, 0.00316305, 0.0145513, 0.503416, 0.0145513, 0.0485721, 0.142783, 5
1.155, 0.00316626, 0.0146072, 0.503926, 0.0146072, 0.0530778, 0.123939, 5
1.16, 0.00316929, 0.0146355, 0.504409, 0.0146355, 0.051641, 0.120065, 5
1.165, 0.00317488, 0.0146629, 0.505298, 0.0146629, 0.0513012, 0.118601, 4
1.17, 0.00317841, 0.014671, 0.50586, 0.014671, 0.0532089, 0.118427, 7
1.175, 0.00318541, 0.014705, 0.506974, 0.014705, 0.0489462, 0.109723, 6
1.18, 0.00318718, 0.0146142, 0.507255, 0.0146142, 0.0531627, 0.116974, 6
1.185, 0.00319239, 0.0147642, 0.508085, 0.0147642, 0.0508554, 0.0847383, 3
1.19, 0.00319684, 0.0147542, 0.508793, 0.0147542, 0.0533816, 0.129079, 4
1.195, 0.00320024, 0.0147583, 0.509334, 0.0147583, 0.0522309, 0.131934, 7
1.2, 0.00320474, 0.0147842, 0.51005, 0.0147842, 0.0507246, 0.109468, 3
1.205, 0.00320934, 0.0148094, 0.510782, 0.0148094, 0.0489928, 0.102425, 4
1.21, 0.00321307, 0.0148214, 0.511377, 0.0148214, 0.0489979, 0.112919, 5
1.215, 0.00321822, 0.0148485, 0.512195, 0.0148485, 0.0508284, 0.0927521, 4
1.22, 0.00322149, 0.0148554, 0.512716, 0.0148554, 0.051536, 0.113686, 4
1.225, 0.00322612, 0.0148751, 0.513453, 0.0148751, 0.0535283, 0.113475, 6
1.23, 0.00323086, 0.0148671, 0.514208, 0.0148671, 0.049483, 0.103603, 4
1.235, 0.00323465, 0.0148936, 0.514811, 0.0148936, 0.053066, 0.104837, 5
1.24, 0.00323833, 0.0149434, 0.515396, 0.0149434, 0.0538151, 0.120358, 6
1.245, 0.00324289, 0.0149371, 0.516123, 0.0149371, 0.0511912, 0.105272, 6
1.25, 0.0032479, 0.0149273, 0.516919, 0.0149273, 0.0569393, 0.126818, 4
1.255, 0.00325082, 0.0149743, 0.517385, 0.0149743, 0.0542153, 0.166658, 5
1.26, 0.00325412, 0.0150183, 0.51791, 0.0150183, 0.0542233, 0.153165, 7
1.265, 0.00326019, 0.0151712, 0.518876, 0.0151712, 0.0526695, 0.118661, 4
1.27, 0.00326319, 0.0150388, 0.519353, 0.0150388, 0.0503455, 0.113743, 4
1.275, 0.00326672, 0.0150306, 0.519915, 0.0150306, 0.0522019, 0.136324, 7
1.28, 0.00327178, 0.0150704, 0.52072, 0.0150704, 0.0511198, 0.149173, 5
1.285, 0.0032754, 0.0150935, 0.521296, 0.0150935, 0.0467279, 0.0966657, 4
1.29, 0.00327932, 0.0151049, 0.52192, 0.0151049, 0.051373, 0.122006, 4
1.295, 0.00328286, 0.0151099, 0.522484, 0.0151099, 0.0528156, 0.1334, 7
1.3, 0.00328797, 0.0151333, 0.523296, 0.0151333, 0.0498816, 0.116452, 6
1.305, 0.00329142, 0.0151262, 0.523845, 0.0151262, 0.0946793, 0.0808935, 3
1.31, 0.00329537, 0.0151629, 0.524475, 0.0151629, 0.0564128, 0.150472, 4
1.315, 0.00329908, 0.0152039, 0.525065, 0.0152039, 0.0495249, 0.114666, 6
1.32, 0.00330287, 0.0152469, 0.525668, 0.0152469, 0.0502527, 0.0811005, 3
1.325, 0.00330726, 0.0152285, 0.526368, 0.0152285, 0.0511916, 0.0807712, 3
1.33, 0.0033106, 0.0152299, 0.526899, 0.0152299, 0.0482224, 0.111846, 7
1.335, 0.00331757, 0.0152839, 0.528007, 0.0152839, 0.0483942, 0.111496, 6
1.34, 0.00331821, 0.015181, 0.52811, 0.015181, 0.0491869, 0.102116, 4
1.345, 0.00332255, 0.0152729, 0.5288, 0.0152729, 0.0599649, 0.121501, 4
1.35, 0.00332686, 0.0153541, 0.529486, 0.0153541, 0.0479475, 0.106953, 5
1.355, 0.00332887, 0.0153268, 0.529806, 0.0153268, 0.0538166, 0.118257, 4
1.36, 0.00333388, 0.0153359, 0.530603, 0.0153359, 0.051573, 0.0874811, 3
1.365, 0.00333735, 0.0154943, 0.531156, 0.0154943, 0.0507842, 0.13155, 6
1.37, 0.00334141, 0.0152329, 0.531802, 0.0152329, 0.0499923, 0.11252, 4
1.375, 0.00334507, 0.0153932, 0.532384, 0.0153932, 0.0633754, 0.110091, 4
1.38, 0.00334841, 0.0153885, 0.532917, 0.0153885, 0.051965, 0.15066, 7
