Iteration, Drag, Lift, Coeff Drag, CoeffLift, time prec, time solve
1.305, 0.00329174, 0.0151634, 0.523896, 0.0151634, 0.057654, 0.0911586, 4
1.31, 0.0032953, 0.015216, 0.524463, 0.015216, 0.051417, 0.1058, 5
1.315, 0.003298, 0.0151724, 0.524892, 0.0151724, 0.0568284, 0.125378, 5
1.32, 0.00330352, 0.015199, 0.525772, 0.015199, 0.0640224, 0.184904, 7
1.325, 0.00330739, 0.0152222, 0.526388, 0.0152222, 0.0748508, 0.140427, 4
1.33, 0.00331035, 0.0152423, 0.526859, 0.0152423, 0.0511765, 0.107461, 6
1.335, 0.00331425, 0.0152173, 0.527479, 0.0152173, 0.0522655, 0.11312, 5
1.34, 0.00331853, 0.0153123, 0.528161, 0.0153123, 0.0533358, 0.111234, 4
1.345, 0.00332232, 0.0152905, 0.528763, 0.0152905, 0.0521192, 0.140512, 5
1.35, 0.00332368, 0.0153732, 0.52898, 0.0153732, 0.0556158, 0.0972037, 5
1.355, 0.00333227, 0.0152779, 0.530347, 0.0152779, 0.0521108, 0.154346, 4
1.36, 0.00333386, 0.0153476, 0.530601, 0.0153476, 0.0550666, 0.152801, 4
1.365, 0.00333696, 0.0153394, 0.531093, 0.0153394, 0.0533805, 0.131882, 5
1.37, 0.00334219, 0.0153805, 0.531926, 0.0153805, 0.056861, 0.0953087, 4
1.375, 0.00334495, 0.015391, 0.532365, 0.015391, 0.0654856, 0.107494, 4
1.38, 0.003349, 0.0154443, 0.53301, 0.0154443, 0.0501061, 0.125578, 6
1.385, 0.00335266, 0.0153829, 0.533593, 0.0153829, 0.057557, 0.130026, 4
1.39, 0.00335632, 0.0154448, 0.534175, 0.0154448, 0.0543344, 0.164469, 5
1.395, 0.00336012, 0.0154575, 0.53478, 0.0154575, 0.0533326, 0.143787, 5
1.4, 0.00336336, 0.0154743, 0.535296, 0.0154743, 0.0537064, 0.101253, 4
1.405, 0.00336751, 0.0154926, 0.535955, 0.0154926, 0.0536829, 0.103384, 5
1.41, 0.00336997, 0.0156263, 0.536348, 0.0156263, 0.0526819, 0.121928, 5
1.415, 0.00337501, 0.0154269, 0.53715, 0.0154269, 0.0543723, 0.111689, 4
1.42, 0.00337837, 0.015523, 0.537685, 0.015523, 0.0527892, 0.0885591, 4
1.425, 0.00338178, 0.0155416, 0.538228, 0.0155416, 0.052581, 0.146653, 7
1.43, 0.00338584, 0.0155833, 0.538873, 0.0155833, 0.0522344, 0.114774, 6
1.435, 0.00338956, 0.0155344, 0.539464, 0.0155344, 0.0576142, 0.188483, 5
1.44, 0.0033921, 0.0156147, 0.539869, 0.0156147, 0.0607729, 0.115177, 4
1.445, 0.00339634, 0.015627, 0.540544, 0.015627, 0.0559116, 0.133421, 5
1.45, 0.00340053, 0.0155724, 0.541211, 0.0155724, 0.0511908, 0.109854, 5
1.455, 0.00340269, 0.0157111, 0.541554, 0.0157111, 0.0529052, 0.108293, 4
